"sku","_store","_attribute_set","_type","_category","_product_websites","name","image","small_image","thumbnail","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","use_config_qty_increments","qty_increments","use_config_enable_qty_increments","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort"
"1039","","pulseras","simple","Pulseras","base","El Palmar.  Ref.1039","/m/o/mod._el_palmar_24e_ref.1039.jpg","/m/o/mod._el_palmar_24e_ref.1039.jpg","/m/o/mod._el_palmar_24e_ref.1039.jpg","/c/i/cierre_garfio_7.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_087.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1052","","pulseras","simple","Pulseras","base","El Puerto 14.  Ref.1052","/e/l/el_puerto_14_piezas_ref.1052.jpg","/e/l/el_puerto_14_piezas_ref.1052.jpg","/e/l/el_puerto_14_piezas_ref.1052.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1033","","pulseras","simple","Pulseras","base","El Puerto Conil.  Ref.1033","/e/l/el_puerto_conil_ref_1033.jpg","/e/l/el_puerto_conil_ref_1033.jpg","/e/l/el_puerto_conil_ref_1033.jpg","/a/p/aparejos_web_blanco_196.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_190_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1053","","pulseras","simple","Pulseras","base","El Puerto.  Ref.1053","/e/l/el_puerto_ref.1053._1.jpg","/e/l/el_puerto_ref.1053._1.jpg","/e/l/el_puerto_ref.1053._1.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1054","","pulseras","simple","Pulseras","base","El Puerto XL.  Ref.1054","/e/l/el_puerto_xl_ref.1054.jpg","/e/l/el_puerto_xl_ref.1054.jpg","/e/l/el_puerto_xl_ref.1054.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1086","","pulseras","simple","Pulseras","base","El Tablao.  Ref.1086","/e/l/el_tablao_ref.1086.jpg","/e/l/el_tablao_ref.1086.jpg","/e/l/el_tablao_ref.1086.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1063","","pulseras","simple","Pulseras","base","Emerillon Triple.  Ref.1063","/e/m/emerillon-triple_ref.1063.jpg","/e/m/emerillon-triple_ref.1063.jpg","/e/m/emerillon-triple_ref.1063.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1107","","pulseras","simple","Pulseras","base","Ensenada.  Ref.1107","/2/0/2011_marzo_aparejos_-_055_1.jpg","/2/0/2011_marzo_aparejos_-_055_1.jpg","/2/0/2011_marzo_aparejos_-_055_1.jpg","/2/0/2011_marzo_aparejos_-_056.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1029","","pulseras","simple","Pulseras","base","Eslabones.  Ref.1029","/e/s/eslabones_ref.1029_.jpg","/e/s/eslabones_ref.1029_.jpg","/e/s/eslabones_ref.1029_.jpg","/e/s/eslabones_ref.1029_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1114","","pulseras","simple","Pulseras","base","Fenicio.  Ref.1114","/f/e/fenicio-mujer_1114_fenicio-hombre_1115_1.jpg","/f/e/fenicio-mujer_1114_fenicio-hombre_1115_1.jpg","/f/e/fenicio-mujer_1114_fenicio-hombre_1115_1.jpg","/a/p/aparejos_web_blanco_102_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1093","","pulseras","simple","Pulseras","base","Jerez.  Ref.1093","/j/e/jerez_ref.1093_1.jpg","/j/e/jerez_ref.1093_1.jpg","/j/e/jerez_ref.1093_1.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1110","","pulseras","simple","Pulseras","base","Kitty.  Ref.1110","/k/i/kitty_ref1110_1.jpg","/k/i/kitty_ref1110_1.jpg","/k/i/kitty_ref1110_1.jpg","/a/p/aparejos_web_blanco_106.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1105","","pulseras","simple","Pulseras","base","Lances.  Ref.1105","/l/a/lances_ref.1105_1.jpg","/l/a/lances_ref.1105_1.jpg","/l/a/lances_ref.1105_1.jpg","/a/p/aparejos_web_blanco_113.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1036","","pulseras","simple","Pulseras","base","Lobo de Mar 1036","/m/o/mod._lobo_de_mar_19_ref.1036.jpg","/m/o/mod._lobo_de_mar_19_ref.1036.jpg","/m/o/mod._lobo_de_mar_19_ref.1036.jpg","/c/i/cierre_garfio.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_005_2_.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_008_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1028","","pulseras","simple","Pulseras","base","Lobo de mar 1028","/l/o/lobo_de_mar_ref.1028.jpg","/l/o/lobo_de_mar_ref.1028.jpg","/l/o/lobo_de_mar_ref.1028.jpg","/c/i/cierre_garfio_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_010_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1034","","pulseras","simple","Pulseras","base","Lobo de Mar 1034","/l/o/lobo_de_mar_ref.1034.jpg","/l/o/lobo_de_mar_ref.1034.jpg","/l/o/lobo_de_mar_ref.1034.jpg","/c/i/cierre_garfio_2.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_012_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1006","","pulseras","simple","Pulseras","base","Los Caños.  Ref.1006","/l/o/los_ca_os_ref.1006.jpg","/l/o/los_ca_os_ref.1006.jpg","/l/o/los_ca_os_ref.1006.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1087","","pulseras","simple","Pulseras","base","Marinero.  Ref.1087","/m/a/marinero_ref.1087_1.jpg","/m/a/marinero_ref.1087_1.jpg","/m/a/marinero_ref.1087_1.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1120","","pulseras","simple","Pulseras","base","Novo Cadiz.  Ref.1120","/m/o/mod._novo_c_diz_ref.1120_1.jpg","/m/o/mod._novo_c_diz_ref.1120_1.jpg","/m/o/mod._novo_c_diz_ref.1120_1.jpg","/a/p/aparejos_web_blanco_122_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1125","","pulseras","simple","Pulseras","base","Baelo.  Ref.1125","/m/o/mod.baelo_ref.1125_1.jpg","/m/o/mod.baelo_ref.1125_1.jpg","/m/o/mod.baelo_ref.1125_1.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1138","","pulseras","simple","Pulseras","base","Calabrotes Ancla.  Ref.1138","/m/o/mod.calabrotes-ancla_ref_1138_1.jpg","/m/o/mod.calabrotes-ancla_ref_1138_1.jpg","/m/o/mod.calabrotes-ancla_ref_1138_1.jpg","/2/0/2011_enero_224.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/2/0/2011_enero_226.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1140","","pulseras","simple","Pulseras","base","Cañas.  Ref.1140","/m/o/mod.ca_as_ref_1140.jpg","/m/o/mod.ca_as_ref_1140.jpg","/m/o/mod.ca_as_ref_1140.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1134","","pulseras","simple","Pulseras","base","El Cable.  Ref.1134","/m/o/mod.el_cable_ref.1134.jpg","/m/o/mod.el_cable_ref.1134.jpg","/m/o/mod.el_cable_ref.1134.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
